,description,headline,url,provider,date
0,"<b>Oct</b>. 23, 2018, in Denver. The Nuggets won 126-112. (AP Photo/David Zalubowski) Though Kings rookie De&#39;Aaron Fox played one game in his hometown last season, for the second-year point guard, Saturday&#39;s game in <b>Toyota</b> Center was much more of a showcase of ...",Kings&#39; De&#39;Aaron Fox returns to hometown with a different feeling than last year,https://www.chron.com/sports/rockets/article/Kings-De-Aaron-Fox-returns-to-hometown-with-a-13402081.php,Houston Chronicle,2018-11-18T01:13:00.0000000Z
1,"Gerald Green #14 of the Houston Rockets reacts in the second half against the Utah Jazz at <b>Toyota</b> Center on <b>October</b> 24, 2018 in Houston, Texas. (Photo by Tim Warner/Getty Images) Browse through the photos to see how the Rockets have fared in each game this ...",Rockets easing Gerald Green back into rotation,https://www.chron.com/sports/rockets/article/Rockets-easing-Gerald-Green-back-into-rotation-13402050.php,Houston Chronicle,2018-11-18T00:53:00.0000000Z
2,"Consider this: <b>Toyota</b> sold 198,124 units of the Tacoma in 2017. This year, it has sold 204,452 units of the pickup through <b>October</b>. There are two sales months still unaccounted for, and <b>Toyota</b> has already blown past its 2017 sales record. Don’t look now ...",Here Are the Cars <b>Toyota</b> Might Kill Off,https://www.topspeed.com/cars/car-news/here-are-the-cars-toyota-might-kill-off-ar183366.html,Top Speed,2018-11-17T17:15:00.0000000Z
3,TNGA gives the Corolla more agility in addition to what <b>Toyota</b> says is the sedan&#39;s quietest and smoothest ... Paul Makonda&#39;s announcement of an anti-gay campaign at the end of <b>October</b> . At least 10 men were arrested in Zanzibar earlier this month for ...,"More power, style for compact sedan — <b>Toyota</b> Corolla unveiled",http://techkenyot.com/2018/11/16/more-power-style-for-compact-sedan-toyota-corolla-unveiled/,techkenyot.com,2018-11-17T13:41:00.0000000Z
4,"That number for <b>October</b> showed 2,122,970 employed ... plant has officially been broken in Huntsville, Alabama, as Mazda <b>Toyota</b> Manufacturing USA begins building a new $1.6 billion facility.","Alabama First Dog, Kay Ivey’s ‘Bear’ dies at 14",https://yellowhammernews.com/alabama-first-dog-kay-iveys-bear-dies-at-14/,Yellowhammer News,2018-11-17T13:12:00.0000000Z
5,"Two of the arrested suspects, Frank Inyang Thomas, 40, and Segun Mustapha, 36, were described by police as members of a syndicate that trail and rob people who withdraw money from banks The suspects were arrested in a silver coloured private <b>Toyota</b> ...","Nigerian Fraudster, Solo Pounds arrested for armed robbery in Ghana",https://www.withinnigeria.com/2018/11/17/nigerian-fraudster-solo-pounds-arrested-for-armed-robbery-in-ghana/,withinnigeria.com,2018-11-17T12:08:00.0000000Z
6,"Order your Tesla by <b>Oct</b>. 15 to get the full $7,500 tax credit 2020 <b>Toyota</b> Corolla sedan to debut on Nov 16 2020 <b>Toyota</b> Corolla sedan teased ahead of its debut on Nov 15 So you only have two weeks to place your order for the Model 3. Tesla has yet to start ...",Order your Tesla Model 3 by Nov 30 to get the full tax credit,https://www.thetorquereport.com/tesla/order-your-tesla-model-3-by-nov-30-to-get-the-full-tax-credit/,The Torque Report,2018-11-17T02:06:00.0000000Z
7,"Instead, owners of mass market cars such as the Honda Accord and <b>Toyota</b> Prius are opening their wallets for ... from Americans’ move toward trucks and sport utility vehicles. In <b>October</b>, sales of cars such as the Accord and Prius continued to slip ...",Tesla&#39;s Model 3 sedan is pulling in buyers who previously owned Accords and Priuses,http://www.latimes.com/business/la-fi-tesla-buyers-stretch-20181116-story.html,Los Angeles Times,2018-11-17T01:00:00.0000000Z
8,"That number for <b>October</b> showed 2,122,970 employed ... plant has officially been broken in Huntsville, Alabama, as Mazda <b>Toyota</b> Manufacturing USA begins building a new $1.6 billion facility.",Alabama unemployment remains stable at 4.1 percent — Record number of people working for sixth-consecutive month,https://yellowhammernews.com/alabama-unemployment-remains-stable-at-4-1-percent-record-number-of-people-working-for-sixth-consecutive-month/,Yellowhammer News,2018-11-17T00:04:00.0000000Z
9,"<b>Toyota</b> is exploring new supplier relationships for the operation ... Environmental issues The plant faced construction complications in <b>October</b>, when the Center for Biological Diversity, an environmental group, filed a suit against the U.S. Fish and ...","<b>Toyota</b>, Mazda will launch $1.6 billion Alabama plant construction next month",http://www.autonews.com/article/20181116/OEM01/181119759/toyota-mazda-alabama-plant-construction,Automotive News,2018-11-16T21:32:00.0000000Z
