,description,headline,url,provider,date
0,"The latest Corolla sedan, <b>Toyota</b> says, draws from the same DNA as the new Corolla hatchback revealed this year. The new chassis dictates a multi-link rear suspension in place of last year&#39;s simpler twist-beam unit, which should provide the Corolla sedan ...",<b>Toyota</b> to start mass <b>production</b> of its new hybrid auto in Turkey,http://booktour.tips/2018/11/toyota-to-start-mass-production-of-its-new-hybrid-auto-in/,booktour.tips,2018-11-17T05:12:00.0000000Z
1,"It was an event rich in promise and prosperity, the moment when the gigantic automobile manufacturing plant worth more than $1 billion – with a “b” – was becoming a reality. The ceremony on a cool Friday morning in a heated tent in rural Limestone ...",Mazda <b>Toyota</b> breaks ground in Huntsville: ‘I wish we could begin <b>production</b> tomorrow’,https://www.al.com/news/2018/11/mazda-toyota-break-ground-in-huntsville-i-wish-we-could-begin-production-tomorrow.html,al.com,2018-11-17T04:57:00.0000000Z
2,"“I wish we could begin <b>production</b> tomorrow,” said Masahi Aihara, president of Mazda <b>Toyota</b> Manufacturing. “But I understand we have a little bit of work to do before we can begin <b>production</b>; just a little bit.” Kiyotaka Shobuda, Mazda’s senior ...",MAZDA <b>TOYOTA</b> MANUFACTURING: Ground broken on new &#39;home&#39; w/PHOTOS,https://www.enewscourier.com/news/local_news/mazda-toyota-manufacturing-ground-broken-on-new-home-w-photos/article_384c29ae-e9f7-11e8-9d90-6f44411d0a36.html,The News Courier,2018-11-16T23:52:00.0000000Z
3,"A robot prepares to shovel the dirt in the ceremonial groundbreaking of the Mazda <b>Toyota</b> Manufacturing USA plant in Huntsville on Nov. 16, 2018. Looking on from the stage are Huntsville Mayor Tommy Battle, left, U.S. Sen. Doug Jones, center, and Gov.",Mazda <b>Toyota</b> break ground in Huntsville: - I wish we could begin <b>production</b> tomorrow&#39;,http://www.topix.com/county/limestone-al/2018/11/mazda-toyota-break-ground-in-huntsville-i-wish-we-could-begin-production-tomorrow,Topix,2018-11-16T23:39:00.0000000Z
4,"The <b>Toyota</b>-Mazda manufacturing joint venture said it would begin construction next month of its 3.3 million-square-foot, $1.6 billion assembly plant in Alabama, with hopes of launching <b>production</b> in 2021 with an eye toward market flexibility. According to ...","<b>Toyota</b>, Mazda will launch $1.6 billion Alabama plant construction next month",http://www.autonews.com/article/20181116/OEM01/181119759/toyota-mazda-alabama-plant-construction,Automotive News,2018-11-16T21:32:00.0000000Z
5,"Despite a well-received redesign and boasting the title of America&#39;s best-selling sedan for the last 16 years, the <b>Toyota</b> Camry is having a rough time in the sales arena—and it appears that crossovers and SUVs are to blame. More importantly, the sales ...",<b>Toyota</b> to Throttle Back Camry <b>Production</b> at Kentucky Plant Amid Poor Sales,http://www.thedrive.com/news/24956/toyota-to-throttle-back-camry-production-at-kentucky-plant-amid-poor-sales,The Drive,2018-11-16T21:18:00.0000000Z
6,"Gov. Kay Ivey on Friday joined Mazda <b>Toyota</b> Manufacturing, U.S.A. to break ground on a new $1.6 billion plant in Huntsville. The jointly owned-and-operated automotive <b>production</b> plant, which is expected to create 4,000 new jobs, is the largest economic ...","Mazda <b>Toyota</b> breaks ground on plant; 4,000 jobs expected",https://www.cullmantimes.com/news/mazda-toyota-breaks-ground-on-plant-jobs-expected/article_4a5502a0-e9c1-11e8-b29a-9f0842894144.html,The Cullman Times,2018-11-16T17:46:00.0000000Z
7,"The jointly owned-and-operated automotive <b>production</b> plant in the Limestone County portion of Huntsville is expected to create 4,000 jobs and accelerate growth in Alabama’s auto sector. Executives of Mazda and <b>Toyota</b> joined Governor Kay Ivey, U.S. Sen.",Mazda <b>Toyota</b> Manufacturing kicks off construction on $1.6B Alabama plant,http://www.madeinalabama.com/2018/11/mazda-toyota-manufacturing/,Alabama Department of Commerce,2018-11-16T17:36:00.0000000Z
8,"“Mazda <b>Toyota</b> Manufacturing represents what we’re all about here ... t.co/ixb5SGiS23 pic.twitter.com/nftQwIcaYK The jointly owned-and-operated automotive <b>production</b> plant will have the capacity to build 300,000 vehicles a year, beginning in 2021.",Mazda <b>Toyota</b> holds high-tech groundbreaking for Huntsville plant,http://www.waff.com/2018/11/16/watch-mazda-toyota-huntsville-plant-groundbreaking/,WAFF,2018-11-16T17:36:00.0000000Z
9,"(Nov. 16, 2018)-- Today in Huntsville, the first shovel of dirt was turned on what will become a jointly owned-and-operated automotive <b>production</b> plant that will have the capacity to build 300,000 vehicles a year, beginning in 2021. Mazda <b>Toyota</b> ...",Mazda <b>Toyota</b> Plant Paving the Way for Groundbreaking Future,https://pressroom.toyota.com/releases/mazda+toyota+plant+paving+the+way+for+groundbreaking+future.htm,pressroom.toyota.com,2018-11-16T16:37:00.0000000Z
