,description,headline,url,provider,date
0,"Fortunately for him, <b>Toyota</b> USA was listening. They left this comment on his Instagram, offering to give him a new truck for his heroism and sacrifice. Sure, it might be a <b>publicity</b> thing, or it might also be more pure than that; a way to spread hope in a ...",Nurse who risked danger to save wildfire victims is getting an epic thank you (10 Photos),http://thechive.com/2018/11/14/nurse-who-risked-danger-to-save-wildfire-victims-is-getting-an-epic-thank-you-10-photos/,The Chive,2018-11-14T18:46:00.0000000Z
1,"Information, <b>Publicity</b> and Broadcasting Services Minister Monica Mutsvangwa said the <b>Toyota</b> Harrier was not Government property and that the incident appeared more like a case of road rage than an attempted abduction. Minister Mutsvangwa dismissed as ...",Govt dismisses Chamisa ‘abduction’,https://www.zimbabwesituation.com/news/govt-dismisses-chamisa-abduction/,Zimbabwe Situation,2018-11-12T06:53:00.0000000Z
2,"In a statement yesterday, the Minister of Information, <b>Publicity</b> and Broadcasting Services ... services nor any security services or any arm of Government owns the <b>Toyota</b> Harrier in the captured video. She said a quick check at the Central Vehicle Registry ...",Chamisa “road-rage victims” report to police,https://www.thezimbabwedaily.com/news/287404-chamisa-road-rage-victims-report-to-police.html,thezimbabwedaily.com,2018-11-11T23:39:00.0000000Z
3,"In a statement yesterday, the Minister of Information, <b>Publicity</b> and Broadcasting Services ... services nor any security services or any arm of Government owns the <b>Toyota</b> Harrier in the captured video. She said a quick check at the Central Vehicle Registry ...",‘It wasn’t a kidnap’. . . Govt dismisses Chamisa’s “mischievous” abduction claims,https://www.thezimbabwedaily.com/headlines/287358-it-wasnt-a-kidnap-govt-dismisses-chamisas-mischievous-abduction-claims.html,thezimbabwedaily.com,2018-11-11T22:05:00.0000000Z
4,"Due to the nature of the vintage items I sell, I am not able to accept returns on items which were accurately described. Please view photos and descriptions carefully and I welcome and encourage buyers to ask questions before bidding. Note, however, that I ...",1983 <b>Toyota</b> SR5 Pickup Factory <b>Publicity</b> Press Photo Photograph,https://www.etsy.com/listing/572584616/1983-toyota-sr5-pickup-factory-publicity,Etsy,2018-10-06T00:00:00.0000000Z
5,"On the surface, it sounds like a great idea. <b>Toyota</b> could piggyback the Supra race car’s involvement in NASCAR to create more buzz and <b>publicity</b> for the road-going model. But a closer look at the rumor will show that bringing the Supra to NASCAR so soon ...",Note to <b>Toyota</b>: Resist The Urge to Send The <b>Toyota</b> Supra To Race in NASCAR,https://www.topspeed.com/cars/car-news/note-to-toyota-resist-the-urge-to-send-the-toyota-supra-to-race-in-nascar-ar181461.html,Top Speed,2018-09-29T11:31:00.0000000Z
6,"The three no-entry fee $1 million purse BASS events will be the <b>Toyota</b> Bassmaster Texas Fest, <b>Toyota</b> Bassmaster Angler of the Year Championship and the Bassmaster Classic. The organization also announced an increased investment in exposure opportunities ...","BASS and MLF entice anglers with higher payouts, <b>publicity</b>",https://www.tulsaworld.com/sportsextra/outdoors/fishing/bass-and-mlf-entice-anglers-with-higher-payouts-publicity/article_f4470531-9c0d-5a64-8d01-c2751ae90532.html,Tulsa World,2018-09-23T05:20:00.0000000Z
7,"For car companies, announcing bold, fast-approaching deadlines for when self-driving cars will hit the road has been an easy way to garner favorable <b>publicity</b> ... into a self-driving program at Uber, a <b>Toyota</b> executive is acknowledging that the technology ...",<b>Toyota</b> executive says self-driving car technology is overhyped,https://www.consumeraffairs.com/news/toyota-executive-says-self-driving-car-technology-is-overhyped-092118.html,ConsumerAffairs,2018-09-21T18:29:00.0000000Z
8,"<b>Toyota</b> was play a dominant role in the developing automatic ... Essays, UK. (November 2013). <b>Positive and Negative Publicity Strategies</b>. Retrieved from https://www.ukessays.com/essays/management/<b>positive-and-negative-publicity-strategies</b>-management ...",<b>Positive and Negative Publicity Strategies</b>,https://www.ukessays.com/essays/management/positive-and-negative-publicity-strategies-management-essay.php,UK Essays,2018-08-09T00:00:00.0000000Z
9,"The <b>Toyota</b> sports car needs a big <b>publicity</b> push-despite a 1993 model’s starring role in the Fast and Furious movie franchise, there’s no getting around the Supra’s 20-year absence from U.S. dealerships. Next year’s NASCAR Xfinity Series should ...",How the NASCAR Xfinity Series <b>Toyota</b> Supra Lines Up with the Production Model,https://www.yahoo.com/news/toyota-nascar-xfinity-supra-resembles-231500936.html,YAHOO!,2018-07-06T13:54:00.0000000Z
10,"However, the suggestion that <b>Toyota</b> gifted Fernando Alonso a Le Mans win comes with an unusually large catalogue of plausibility. The <b>publicity</b> motives are irrefutable. Whilst headlines like ‘Alonso wins Le Mans’ could not fail to extract an almost ...",Opinion: Why Alonso’s Le Mans win was no sham,https://www.thecheckeredflag.co.uk/2018/06/opinion-why-alonsos-le-mans-win-was-no-sham/,thecheckeredflag.co.uk,2018-06-20T14:07:00.0000000Z
11,"Another Alonso win would surely garner <b>Toyota</b> the most <b>publicity</b>, as it would simultaneously take Alonso one step further toward the Triple Crown: the unofficial title for winning the Monaco Grand Prix (which Alonso has done twice), Le Mans 24 Hours.",Fernando Alonso Relishing &#39;Fun&#39; WEC Races as He Labels F1 &#39;Predictable&#39;,http://www.thedrive.com/accelerator/20943/fernando-alonso-relishing-fun-wec-races-as-he-labels-f1-predictable,The Drive,2018-05-18T19:33:00.0000000Z
12,"The Honda experience suggests that they will. And it all raises another question: will Honda now piggy-back on the <b>Toyota</b>&#39;s high-profile Drive Happy <b>publicity</b> campaign by re-launching the Price Promise? I know that if I were Honda, I would.",Why <b>Toyota</b> will be Driving Happy on the back of the Price Promise,https://www.stuff.co.nz/motoring/102809510/why-toyota-will-be-driving-happy-on-the-back-of-the-price-promise,Stuff.co.nz,2018-04-06T00:54:00.0000000Z
13,"After a weeklong cross-country sojourn that began in Los Angeles, the <b>publicity</b> stunt that was a <b>Toyota</b> Tundra towing a large egg has, er, hatched in the heart of the Flatiron District. And what little chickadee emerged? The all-new 2019 <b>Toyota</b> Corolla ...","First Look: Based on the 2019 Corolla Hatchback, <b>Toyota</b> finally gets serious about building a sport compact car",http://www.nydailynews.com/autos/news/2019-toyota-corolla-hatchback-preview-article-1.3891749,New York Daily News,2018-03-23T14:26:00.0000000Z
14,"A <b>Toyota</b> representative confirmed to ABC News ... and did not support the contention of those who believe Sikes faked the incident for profit or <b>publicity</b>. &quot;There is no reason whatsoever to believe it&#39;s a hoax,&quot; said Gomez. &quot;And just to be clear, he ...",<b>Toyota</b> Says &#39;Runaway&#39; Prius Driver May Have Had His Foot on the Gas,https://abcnews.go.com/Blotter/toyota-runaway-prius-driver-foot-gas/story?id=10105404,ABC News,2018-03-22T22:41:00.0000000Z
15,"Huntsville, Alabama, U.S.A. (March 8, 2018) / Hiroshima and <b>Toyota</b>-city, Japan (March 9, 2018) - Mazda Motor Corporation and <b>Toyota</b> Motor Corporation have established their new joint-venture company “Mazda <b>Toyota</b> Manufacturing, U.S.A., Inc.” (MTMUS ...","Mazda and <b>Toyota</b> Establish Joint-Venture Company “Mazda <b>Toyota</b> Manufacturing, U.S.A., Inc.”",http://www2.mazda.com/en/publicity/release/2018/201803/180309a.html,www2.mazda.com,2018-03-09T09:28:00.0000000Z
16,"Montgomery, Alabama (January 10, 2018) – Alabama Governor Kay Ivey and Huntsville Mayor Tommy Battle joined Mazda (MZDAF) and <b>Toyota</b> (NYSE: TM) leaders today to announce the automakers have selected Huntsville, Alabama as the site of their new joint ...","<b>Mazda, Toyota select Alabama for</b> new U.S. auto manufacturing plant",http://www2.mazda.com/en/publicity/release/2018/201801/180111a.html,www2.mazda.com,2018-01-10T22:41:00.0000000Z
17,"Hayashi, a former Formula One engineer at <b>Toyota</b> Motor Corp., was hired by SoftBank’s Masayoshi ... Linguistically, Groove X’s <b>publicity</b> stunt might be hard to parse. The term mashi-mashi is probably a nod to a picture that Musk tweeted in 2014 ...",Attention Elon Musk: A Japanese Robot Maker is <b>Staging Publicity Stunt Outside SpaceX</b>,https://www.bloomberg.com/news/articles/2017-12-04/attention-elon-musk-a-japanese-robot-maker-is-staging-publicity-stunt-outside-spacex,Bloomberg L.P.,2017-12-04T09:36:00.0000000Z
18,"“FT-AC reminds adventurers of all skill levels how remarkable the trip — not just the destination — can be,” goes the pitch from the <b>Toyota publicity</b> machine. “Going for a paddle on the river. Climbing a favorite rock face. Hitting a trail on a ...",Rugged <b>Toyota</b> concept challenges Jeep’s Wrangler,https://www.detroitnews.com/story/business/autos/foreign/2017/11/30/toyota-concept-vehicle-challenges-wrangler-los-angeles-auto-show/108147288/,The Detroit News,2017-11-30T11:04:00.0000000Z
19,"and Michigan-based analyst Alan Baum estimates by Dec. 31 the <b>Toyota</b> will have 20,300, and the Chevrolet will have 19,500. The Volt was first launched amid a firestorm of <b>publicity</b> in 2011, garnering enough car-of-the-year awards to break the shelves off ...",<b>Toyota</b> Prius Prime Will Likely Be The First Plug-in Hybrid To Outsell Chevy Volt,https://www.hybridcars.com/toyota-prius-prime-will-likely-be-the-first-plug-in-hybrid-to-outsell-chevy-volt/,Hybrid Cars,2017-11-10T11:03:00.0000000Z
20,"SAITAMA, SAITAMA PREF. – After suffering an embarrassing scandal, the silver lining for Mayuko <b>Toyota</b> — who is seeking re-election as an independent candidate in Sunday’s poll — is that the sordid <b>publicity</b> has at least achieved one thing ...",Saitama candidate Mayuko <b>Toyota</b>’s negative <b>publicity</b> might work in favor of her re-election to Diet,https://www.japantimes.co.jp/news/2017/10/20/national/politics-diplomacy/saitama-candidate-mayuko-toyotas-negative-publicity-might-work-favor-re-election-diet/,The Japan Times,2017-10-20T07:05:00.0000000Z
21,"It was more than just a <b>publicity</b> stunt: Sheene, who was making a full-time switch from two wheels to four, took two podiums in the 200bhp Celica Supra and ended the year sixth in the Class A points standings. For 1986, <b>Toyota</b> GB returned to the class for ...",A brief history of <b>Toyota</b> in the BTCC,https://blog.toyota.co.uk/brief-history-toyota-btcc,blog.toyota.co.uk,2017-09-29T14:36:00.0000000Z
22,"Although the <b>Toyota</b> Prius had been on sale since 1997 ... and of particular importance in terms of worldwide <b>publicity</b>, compete once again in the 24 Hours of Le Mans. But in order to do so competitively, the weight of the hybrid system had to be reduced.",History of <b>Toyota</b> Hybrid System-Racing (THS-R),https://newsroom.toyota.co.jp/en/detail/17918896,newsroom.toyota.co.jp,2017-08-04T00:00:00.0000000Z
23,"which will complete <b>Toyota</b>&#39;s sports car lineup alongside the GT86 and Supra—if that car is ever coming out of course. Still, there&#39;s no such thing as bad <b>publicity</b>, right? <b>Toyota</b> is doing everything it can to shed the &quot;boring&quot; reputation that it acquired ...",<b>Toyota Ad Campaign Recruits Fairytales and Youtube</b> Stars for the C-HR,http://www.thedrive.com/sheetmetal/11379/toyota-ad-campaign-recruits-fairytales-and-youtube-stars-for-the-c-hr,The Drive,2017-06-10T17:48:00.0000000Z
24,"Calty design chief Ian Cartabiano sums it up as “rugged charm.” <b>Toyota publicity</b> materials refer to “a charming ubiquitous tactility of grips, handles, and controls.” Elements of the FT-4X may someday find their way into production. But unlike many ...",<b>Toyota</b> FT-<b>4X Concept: Millennial weekend escape machine</b>,https://www.kbb.com/car-news/all-the-latest/toyota-ft-4x-concept-millennial-weekend-escape-machine/2100004087/,Kelley Blue Book,2017-04-11T22:18:00.0000000Z
25,"Does this work for established companies? One example of such negative <b>publicity</b> is <b>Toyota</b>’s 2009 fiasco. Product recalls, hefty fines, and sliding sales created a perfect storm. The forecast was a major slump. <b>Toyota</b> was making headlines for all the ...",3 Marketing Hacks for the Struggling Startup,https://neilpatel.com/blog/hacks-for-the-struggling-startup/,Neil Patel,2017-03-06T21:43:00.0000000Z
26,"There won’t be a diesel version. A few years ago, that might have been commercial suicide, but <b>Toyota</b> Ireland reckons that diesel’s recent dark <b>publicity</b> means far more people are now prepared to try hybrid. To drive, it’s like any other <b>Toyota</b> ...",First Drive: <b>Toyota</b>’s new C-HR cuts a <b>visual dash and has premium appeal</b>,https://www.irishtimes.com/life-and-style/motors/first-drive-toyota-s-new-c-hr-cuts-a-visual-dash-and-has-premium-appeal-1.2877754,The Irish Times,2016-11-23T05:04:00.0000000Z
27,"“<b>Toyota</b> started with the Prius and has expanded that range ... At 110 miles, and with minimal <b>publicity</b> in the weeks preceding its introduction, the all-electric Ioniq will likely remain in the shadows of the plug-in market and sell in very low ...","Despite Lack of <b>Publicity</b>, Hyundai’s New EV Goes on Sale in Weeks",https://plugincars.com/despite-lack-publicity-hyundai%e2%80%99s-new-ev-goes-sale-weeks-132351.html,plugincars.com,2016-11-03T18:50:00.0000000Z
28,"But as I said, let&#39;s leave all that aside for a moment. Rather, I want to call your attention to what <b>Toyota</b> (NYSE:TM) just introduced, and which received comparatively little <b>publicity</b> in the mainstream media, including CNBC. Starting later this quarter ...","<b>Toyota Pokes Tesla With After-Discount</b> $18,065 Plug-In Prius",https://seekingalpha.com/article/4010423-toyota-pokes-tesla-discount-18065-plug-prius,Seeking Alpha,2016-10-05T21:18:00.0000000Z
29,"At the height of the <b>Toyota publicity</b>, legislation was introduced to require black boxes to be fitted to all new vehicles sold in the U.S. It was never enacted into law, however. But what Tesla has fitted to its cars is simply a black box that transmits ...",Tesla refutes owner claims of <b>Model X &#39;sudden acceleration&#39; before crash</b>,https://www.greencarreports.com/news/1104345_tesla-refutes-owner-claims-of-model-x-sudden-acceleration-before-crash,Green Car Reports,2016-06-07T14:11:00.0000000Z
30,"Now he&#39;s moving on to a 2016 model, which just so happens to be the 16th Tundra the loyal customer has acquired – though this time the bill&#39;s on <b>Toyota</b>. The company claims the free truck isn&#39;t all about <b>publicity</b> or customer relations, though ...",<b>Million-mile Toyota Tundra owner given brand</b> new truck,https://www.autoblog.com/2016/05/16/toyota-tundra-million-mile-official/,Autoblog,2016-05-16T00:00:00.0000000Z
31,"It also usually generates lots of <b>publicity</b>. When <b>Toyota</b> Motor Sales U.S.A. and ad agency Saatchi &amp; Saatchi were dreaming up an outdoor ad campaign to introduce the RAV4 Hybrid to the world, they also wanted to take some risks. But only the conceptual kind.",<b>Toyota</b>&#39;s <b>climbable billboard creates buzz for</b> RAV4 Hybrid,http://www.autonews.com/article/20160411/RETAIL03/304119991/toyotas-climbable-billboard-creates-buzz-for-rav4-hybrid,Automotive News,2016-04-11T04:09:00.0000000Z
32,WOULD you buy a <b>Toyota</b> LandCruiser because it was driven by fugitive pair Gino and Mark Stocco during their run from police? A marketing expert says the constant media mentions of the accused murderers’ getaway car would have had the LandCruiser at the ...,Marketing guru says Stocco <b>publicity</b> good for <b>Toyota</b> LandCruiser sales,https://www.heraldsun.com.au/leader/news/marketing-guru-says-stocco-publicity-good-for-toyota-landcruiser-sales/news-story/fbcd812a16cb5e2e641bda90c9636e77,heraldsun.com.au,2015-10-28T23:44:00.0000000Z
33,"Nevertheless, stocks such as <b>Toyota</b> and VW have proven to be just mirages, which contrary to market expectation, incorporated high (ESG) hidden risks. In recent years, the notion of <b>Responsible Investing</b> ... to withstand bad <b>publicity</b> and a $1.2 billion ...",When <b>Responsible Investing</b> And <b>ESG Matter: Volkswagen</b> And <b>Toyota</b>,https://seekingalpha.com/article/3572236-responsible-investing-esg-matter-volkswagen-toyota,Seeking Alpha,2015-10-14T18:22:00.0000000Z
34,"<b>Toyota</b>&#39;s mechanics also got in on the action ... on an animated race that saw Hamilton and Button race wheel-to-wheel throughout. Initially a <b>publicity</b> stunt, the film seemed to become a driving force for change when—two years after its release ...",10 Amazing <b>Publicity</b> Stunts in Formula 1 History,https://bleacherreport.com/articles/2368498-10-amazing-publicity-stunts-in-formula-1-history,Bleacher Report,2015-02-27T00:25:00.0000000Z
35,"may appear <b>publicity</b>-driven, this does nothing to delegitimize the impact. To be sure, <b>Toyota</b> and Tesla are not alone in the auto industry. Honda and General Motors, who lead the industry in <b>fuel cell patents</b>, are working together on fuel cell applications.","<b>Toyota</b> Shares <b>Fuel Cell Patents</b>, Sparks Innovation",http://www.courant.com/opinion/op-ed/hc-op-fresh-talk-sacco-share-patents-fuel-cell-0114-20150113-story.html,Hartford Courant,2015-01-13T23:46:00.0000000Z
36,"to draw <b>publicity</b>.) <b>Toyota</b> has similar goals for the fuel-cell car market. “At <b>Toyota</b>, we believe that when good ideas are shared, great things can happen,” Bob Carter, senior vice president at <b>Toyota</b>, said before the announcement. “The first ...",<b>Toyota Opens Patents on Hydrogen Fuel Cell Technology</b>,http://www.govtech.com/transportation/Toyota-Opens-Patents-on-Hydrogen-Fuel-Cell-Technology.html,Government Technology,2015-01-06T19:12:00.0000000Z
