,description,headline,url,provider,date
0,"<b>Toyota</b> says the TRD engineers have developed the dynamic characteristics ... Bae&#39;s Turkish steak house and the pair were seen deep in conversation. While we can&#39;t <b>recall</b> everyone ever asking for an Avalon TRD, both cars have been equipped with a retuned ...",<b>Toyota</b> Camry TRD and Avalon TRD get unexpectedly fierce,http://newstrendstoday.com/2018/11/18/toyota-camry-trd-and-avalon-trd-get-unexpectedly-fierce.html,Amazing Cars,2018-11-17T23:11:00.0000000Z
1,"The company noted that it is not aware of any accidents, injuries or fires to date related to the latest <b>recalls</b>. Nov. 1: Subaru, <b>Toyota recall</b> 165,000 U.S. cars with engine-stalling defect Oct. 25: Ford <b>recalls</b> 1.5 million Ford Focus cars that ...","Ford <b>recalls</b> new Explorer, Expedition, Navigator, Nautilus, Super Duty",https://www.usatoday.com/story/money/cars/2018/11/16/ford-recall-explorer-expedition-super-duty/2032177002/,USA Today,2018-11-17T00:50:00.0000000Z
2,Center for Auto Safety is asking the government to <b>recall</b> more than 3 million vehicles ... and new updates coming to <b>Toyota</b>&#39;s most popular vehicle. Details on possible charges for WikiLeaks ...,Consumer Alert: Advocates call for <b>recall</b> after cars catch fire,http://newjersey.news12.com/story/39498216/consumer-alert-advocates-call-for-recall-after-cars-catch-fire,News 12 New Jersey,2018-11-17T00:50:00.0000000Z
3,"<b>Toyota</b> has officially unveiled the 2020 Avalon and Camry TRD. Set to debut at the Los Angeles Auto Show, the models are billed as “track-tuned sedans that enthusiasts have been asking for.” While we can’t <b>recall</b> everyone ever asking for an Avalon TRD ...",2020 <b>Toyota</b> Avalon And Camry TRD Pack 301HP And Track-Tuned Suspension,https://www.carscoops.com/2018/11/2020-toyota-avalon-camry-trd-pack-301-hp-track-tuned-suspension/,Carscoops,2018-11-16T17:18:00.0000000Z
4,"If the pedal does get stuck, the Grand Cherokee Trackhawk will accelerate. The problem shows some similarities to the massive &quot;unintended acceleration&quot; <b>recall</b> that plagued <b>Toyota</b> and Lexus vehicles in 2010. Unintended acceleration increases the risk of a ...",2018 Jeep Grand Cherokee SRT Trackhawk floor mats recalled,https://www.thecarconnection.com/news/1119974_2018-jeep-grand-cherokee-srt-trackhawk-floor-mats-recalled,The Car Connection,2018-11-16T15:37:00.0000000Z
5,"The <b>recall</b> involves four types of the company&#39;s ... and new updates coming to <b>Toyota</b>&#39;s most popular vehicle. Details on possible charges for WikiLeaks founder Julian Assange, plans by SpaceX ...","Over 91,000 pounds of ground turkey recalled for possible salmonella",http://newjersey.news12.com/story/39494141/over-91000-pounds-of-ground-turkey-recalled-for-possible-salmonella,News 12 New Jersey,2018-11-16T11:45:00.0000000Z
6,"<b>Toyota</b> Ireland has recalled thousands of vehicles due to a number of potential issues affecting drivers across the country. The company first voluntarily recalled Avensis, Verso, Corolla that were manufactured between August 2002 and May 2007, some ...","<b>Toyota</b> Ireland <b>recall</b> nearly 40,000 cars due to safety risks",https://www.msn.com/en-ie/news/other/toyota-ireland-recall-nearly-40000-cars-due-to-safety-risks/ar-BBPKBSh,Extra.ie,2018-11-15T19:04:00.0000000Z
7,"That <b>recall</b> involves approximately 228,648 model year 2018 Subaru ... Subaru customers are being asked to contact the manufacturer at 1-844-373-6614 for additional questions, and <b>Toyota</b> FR-S owners are being asked to contact <b>Toyota</b> Customer Experience ...",Subaru <b>Recalls</b> Issued Over Engine Stall Risks,https://www.aboutlawsuits.com/subaru-stall-recalls-151446/,Aboutlawsuits.com,2018-11-14T14:43:00.0000000Z
8,"He accepted what he thought was his fate, recorded a message to his family on his phone, and tuned the radio to Peter Gabriel&#39;s &quot;In Your Eyes&quot; as the fire began to reach the passenger side of the <b>Toyota</b>. Suddenly, <b>recalls</b> Pierce, as he held his coat up to ...",<b>Toyota</b> Offers New Tundra to Nurse Who Shuttled Patients During California Wildfires,http://www.thedrive.com/news/24874/toyota-offers-new-truck-to-nurse-who-shuttled-patients-to-safety-in-california-wildfire,The Drive,2018-11-14T00:11:00.0000000Z
9,"... the <b>Toyota</b> Customer Experience Center at 1-888-270-9371. Subaru’s number for this <b>recall</b> is WTY-84. ==&gt; To see other <b>recalls</b> and notifications relating to Crash hazards, please search for “crash” using the Search Box at the top of this page.",NHTSA November 2018 Vehicle <b>Recalls</b>: 35 [US],https://livingsafelyrecalls.wordpress.com/2018/11/12/nhtsa-november-2018-vehicle-recalls-26-us/,livingsafelyrecalls.wordpress.com,2018-11-13T05:24:00.0000000Z
10,"The other <b>recall</b> covers Subaru Imprezas from 2012 to 2014 and the 2013 BRZ, XV Crosstrek and <b>Toyota</b> Scion FR-S. The engine valve springs in about 411,000 vehicles worldwide can fracture, causing the engines to malfunction or stall. Dealers will replace the ...",Subaru <b>recalls</b> 640K vehicles globally for stalling problems,https://www.thedenverchannel.com/money/consumer/subaru-recalls-640k-vehicles-globally-for-stalling-problems,7News and TheDenverChannel.com,2018-11-09T19:04:00.0000000Z
11,"Dealers will reprogram the software to fix the issue. The other <b>recall</b> involves 2012 to 2014 Subaru Imprezas, and the 2013 BRZ, XV Crosstrek and <b>Toyota</b> Scion FR-S. The engine valve springs in those models can break, causing the engine to not work correctly ...",Subaru <b>recalls</b> 640K vehicles worldwide,https://www.ajc.com/news/national/subaru-recalls-640k-vehicles-worldwide/Fy87w9SjkWscx44mpTT4gL/,The Atlanta Journal-Constitution,2018-11-09T18:17:00.0000000Z
12,"The second <b>recall</b> from Subaru includes its 2012 to 2014 Imprezas and 2013 BRZ, XV Crosstrek, and <b>Toyota</b> Scion FR-S vehicles. <b>Toyota</b> and Subaru jointly developed the FR-S. This is a worldwide <b>recall</b> that affects approximately 411,000 vehicles. Engine valve ...",Subaru Announces Two <b>Recalls</b> Affecting Over 600K Vehicles,https://www.ibtimes.com/subaru-announces-two-recalls-affecting-over-600k-vehicles-2731362,International Business Times,2018-11-09T17:48:00.0000000Z
13,"Subaru of America is recalling 165,534 model year 2012-2014 Subaru Imprezas, model year 2012-2013 Impreza Stationwagons, model year 2013 Subaru BRZ, XV Crosstreks and <b>Toyota</b> Scion FR-S vehicles. The engine valve springs in these vehicles may fracture ...","Subaru <b>recalls</b> Imprezas, Impreza Stationwagons, BRZ, XV Crosstreks and <b>Toyota</b> Scion FR-S vehicles",https://www.consumeraffairs.com/recalls/subaru-recalls-imprezas-impreza-stationwagons-brz-xv-crosstreks-and-toyota-scion-fr-s-vehicles-110918.html,ConsumerAffairs,2018-11-09T12:38:00.0000000Z
14,"The Associated Press reports that this figure includes two separate <b>recalls</b> stateside with one covering about 229,000 2018 Outback and Legacy models, with the other covering 2012 to 2014 Impreza, and 2013 BRZ, XV Crosstrek and <b>Toyota</b> Scion FR-S.",Subaru <b>recalls</b> 400K vehicles in US due to 2 issues that can cause stalling,https://www.mlive.com/auto/index.ssf/2018/11/subaru_400k_recall.html,MLive,2018-11-08T21:52:00.0000000Z
15,"As some of you may <b>recall</b>, we reported on the so-called e-Four system in Japan back in October 2015. Since it snows a lot over there, most normal cars are available with AWD, even things like the Mazda3 and Suzuki Swift. But <b>Toyota</b> wanted a greener setup ...",2019 <b>Toyota</b> Prius Coming to LA With AWD,https://www.autoevolution.com/news/2019-toyota-prius-coming-to-la-with-awd-130026.html,autoevolution,2018-11-08T20:43:00.0000000Z
