,description,headline,url,provider,date
0,A Boynton Beach man was driving a friend’s truck with two others in Sarasota at 1:30 a.m. back in <b>September</b> when they stopped at a traffic signal. The Boynton Beach man said he informed the driver of a <b>Toyota</b> sedan next to him that he had a green light.,Battery by pizza: Comment incites road rage,https://www.yoursun.com/venice/news/battery-by-pizza-comment-incites-road-rage/article_886f94c2-e6a8-11e8-96df-43e11af3057c.html,Sun Newspapers,2018-11-17T05:16:00.0000000Z
1,"Love of the experience of actually driving is gone. When I climbed out of the 2018 <b>Toyota</b> Camry XLE in a downtown Detroit parking garage on a pretty <b>September</b> morning, a colleague walked past and asked, “Are you OK?” I wondered what inspired the question.","Auto review: <b>Toyota</b> Camry feels like Xanax, numbs passion for life",https://www.ohio.com/news/20181116/auto-review-toyota-camry-feels-like-xanax-numbs-passion-for-life,Akron Beacon Journal,2018-11-16T22:12:00.0000000Z
2,"(Nov. 16, 2018) – Martin Truex Jr.’s No. 78 Bass Pro Shops/5-hour ENERGY <b>Toyota</b> will have familiar look in this ... Furniture Row Racing announced in early <b>September</b> that it will shut down operations after the 2018 season. Truex, who captured the ...",Paint Scheme on Truex Jr.’s <b>Toyota</b> a Tribute to Furniture Row Racing’s Final Race,http://www.speedwaymedia.com/2018/11/16/paint-scheme-on-truex-jr-s-toyota-a-tribute-to-furniture-row-racings-final-race/,SpeedwayMedia,2018-11-16T18:32:00.0000000Z
3,<b>Toyota</b> Play of the Week #5: Corvallis&#39; Wacky Onside Kick <b>Toyota</b> ... This is the second victory of the season for the Battlin&#39; Bears in as many games. They return home on <b>September</b> 8 to play region-rival Dickinson State in the Hall of Fame Game.,Shelby Schweyen Signs LOI To Play For Lady Griz,http://www.kulr8.com/story/39492518/shelby-schweyen-signs-loi-to-play-for-lady-griz,8 News KULR8,2018-11-16T02:12:00.0000000Z
4,"<b>Toyota</b> is about the unveil the new-generation Corolla sedan ... autoX Editorial Fuelled by passionate motoring junkies since <b>September</b> 2006, is the fastest growing automotive lifestyle publication &amp; portal in India. Through our comprehensive tests and ...",2020 <b>Toyota</b> Corolla sedan teased,https://www.autox.com/news/car-news/2020-toyota-corolla-sedan-teased-104912/,autoX,2018-11-14T10:13:00.0000000Z
5,"&quot;Most importantly today is incentivizing vehicles that are much more profitable.&quot; While the <b>Toyota</b> brand&#39;s incentives on passenger cars fell 16 percent through <b>September</b>, spending on light trucks increased 8 percent, according to Autodata. All that is ...",Lentz wields the ax as <b>Toyota</b> aims to cut costs,http://www.autonews.com/article/20181112/OEM/181119965/toyota-lentz-cost-cuts-prius,Automotive News,2018-11-12T05:13:00.0000000Z
6,"Consolidated vehicle sales for the six-month period ended <b>September</b> 30 totaled 4,418,928 units, an increase of 29,493 units compared to the same period last fiscal year. On a consolidated basis, net revenues for the period totaled 14.674 trillion yen (*$ ...",<b>Toyota</b> April-<b>September</b> 2018 Financial Results,https://www.theautochannel.com/news/2018/11/07/636805-toyota-april-september-2018-financial-results.html,The Auto Channel,2018-11-07T23:00:00.0000000Z
7,"<b>Toyota</b> sold 2.183 million vehicles in July-<b>September</b>, up from 2.175 million vehicles the same period a year earlier. Vehicle sales slipped in the U.S. and Japan but improved in Europe, the rest of Asia and Central and South America. The company stuck to ...","<b>Toyota</b> quarterly profit rises on growing sales, cost cuts",http://www.wbtv.com/2018/11/06/toyota-quarterly-profit-rises-growing-sales-cost-cuts/,WBTV,2018-11-06T20:39:00.0000000Z
8,"Profit for the July-<b>September</b> period rose 11 percent for <b>Toyota</b>&#39;s strongest second-quarter performance since the <b>September</b> 2015 quarter, though it missed a median forecast of 584.89 billion yen from 10 analysts polled by Refinitiv. Earnings got a lift from ...",<b>Toyota</b> lifts full-year profit forecast,https://www.foxbusiness.com/markets/toyota-lifts-full-year-profit-forecast,Fox Business Network,2018-11-06T06:02:00.0000000Z
9,"We feel like we&#39;ve been talking about the imminent return of the <b>Toyota</b> Supra for a million years. Longer. The slow trickle of information, including a drive of the prototype in Spain back in <b>September</b>, has not gone over very well according to you ...","<b>Toyota</b> finally, finally revealing 2020 Supra at Detroit Auto Show",https://www.autoblog.com/2018/10/30/toyota-supra-detroit-auto-show-naias-official/,Autoblog,2018-10-30T19:24:00.0000000Z
