,description,headline,url,provider,date
0,"The 2019 <b>Toyota</b> Land Cruiser (MSRP: $84,765) only comes in one trim, but it has practically every feature that this SUV offers, including an extensive host of safety <b>technology</b>. A rear-seat entertainment system is available, and it comes with two 11.6-inch ...",2019 <b>Toyota</b> Land Cruiser,https://cars.usnews.com/cars-trucks/toyota/land-cruiser,cars.usnews.com,2018-11-17T21:44:00.0000000Z
1,"Executives of Mazda and <b>Toyota</b> joined Gov. Kay Ivey ... ground on a new ‘home’ here in Huntsville — a city that believes in the possibilities of <b>technology</b> and manufacturing, and has striven to realize mankind’s greatest dream.”",Mazda <b>Toyota</b> Manufacturing Kicks Off Construction On $1.6B Alabama Plant,https://www.alabamawx.com/?p=178427,Weather Blog,2018-11-17T20:16:00.0000000Z
2,"<b>Toyota</b> always intended to go for extra qualifying ... There have also been further changes to the Equivalence of <b>Technology</b>, the means by which the rules makers are trying to make the non-hybrid ...",WEC Shanghai: <b>Toyota</b> planned more qualifying runs due to privateers,https://uk.sports.yahoo.com/news/shanghai-6-hours-toyota-always-112622331.html,Yahoo Sports,2018-11-17T18:45:00.0000000Z
3,"<b>Toyota</b> Motorsport GmbH technical director Pascal ... There have also been further changes to the Equivalence of <b>Technology</b>, the means by which the rules makers are trying to make the non-hybrid ...",<b>Toyota</b> needed extra runs to counter privateer threat,https://sports.yahoo.com/toyota-needed-extra-runs-counter-122640942.html,Yahoo Sports,2018-11-17T12:45:00.0000000Z
4,While <b>Toyota</b> locked out the front row of the grid ... EoT Working Well for Rebellion Senna added that the Equivalence of <b>Technology</b> change for Shanghai has drastically reduced the need for non ...,Rebellion “So Much More Motivated” by Tighter LMP1 Gap,https://sportscar365.com/lemans/wec/senna-rebellion-so-much-more-motivated-by-tighter-lmp1-gap/,Sportscar365,2018-11-17T12:28:00.0000000Z
5,"and Smart Stop <b>Technology</b>. All Corolla sedan models come equipped with a standard backup camera. <b>Toyota</b> Safety Sense 2.0 Significantly, all 2020 <b>Toyota</b> Corolla sedan models are equipped standard with <b>Toyota</b> Safety Sense 2.0, an advanced suite of integrated ...",New <b>Toyota</b> Corolla with More Tech than Before,https://www.autoconnectedcar.com/2018/11/new-toyota-corolla-closer-to/,autoconnectedcar.com,2018-11-17T00:08:00.0000000Z
6,"<b>Toyota</b> also claims the interior offers &quot;high sensory quality and advanced <b>technology</b>&quot;. <b>Toyota</b> says that compared with the previous version, the instrument panel, cowl, hood and beltline height are lower to increase visibility and create the interior&#39;s open ...",Redesigned 2020 <b>Toyota</b> Corolla Finally Gets a Hybrid,http://babescapes.gallery/2018/11/17/redesigned-2020-toyota-corolla-finally-gets-a-hybrid/,BABESCAPES,2018-11-17T03:27:00.0000000Z
7,said he was proud to be working with <b>Toyota</b> because the two companies share a bond of pride in manufacturing. “We are proud to be breaking ground on a new ‘home’ here in Huntsville — a city that believes in the possibilities of <b>technology</b> and ...,MAZDA <b>TOYOTA</b> MANUFACTURING: Ground broken on new &#39;home&#39; w/PHOTOS,https://www.enewscourier.com/news/local_news/mazda-toyota-manufacturing-ground-broken-on-new-home-w-photos/article_384c29ae-e9f7-11e8-9d90-6f44411d0a36.html,The News Courier,2018-11-16T23:52:00.0000000Z
8,"Executives from Mazda and <b>Toyota</b> joined Gov ... here in Huntsville — a city that believes in the possibilities of <b>technology</b> and manufacturing, and has striven to realize mankind’s greatest ...",Ivey welcomes <b>Toyota</b> and Mazda executives for auto assembly plant groundbreaking ceremony in Huntsville,https://yellowhammernews.com/ivey-welcomes-toyota-and-mazda-executives-for-auto-assembly-plant-groundbreaking-ceremony-in-huntsville/,Yellowhammer News,2018-11-16T22:43:00.0000000Z
9,"Abbruzzese predicts it will grow to 29 million by 2023. The most recent example of car makers adopting the <b>technology</b> is <b>Toyota</b>. At its headquarters in Japan&#39;s Aichi prefecture, employees like Koichi Kayano are experimenting with HoloLens for a variety of ...",<b>Toyota</b> is using Microsoft&#39;s HoloLens to build cars faster,https://www.channel3000.com/news/technology/toyota-is-using-microsofts-hololens-to-build-cars-faster/869556181,WISC-TV,2018-11-16T22:22:00.0000000Z
10,"The <b>Toyota</b> Camry is the automotive equivalent of Xanax ... Sound quality and easy use of interior <b>technology</b> are essential to me. I called my colleague Mark Phelan, a veteran car critic, and asked, “Am I the only one who loves the Chevy Malibu?”","Auto review: <b>Toyota</b> Camry feels like Xanax, numbs passion for life",https://www.ohio.com/news/20181116/auto-review-toyota-camry-feels-like-xanax-numbs-passion-for-life,Akron Beacon Journal,2018-11-16T22:12:00.0000000Z
11,"Hydrogen fuel cell <b>technology</b> is at the same point in development as electric vehicles were in the late 1990s. The <b>Toyota</b> Prius, the first major hybrid electric vehicle to hit the market, came out in 1997. It was a first sign of things to come. Today ...",Hydrogen Fuel Cell <b>Technology</b> Is Just Now Taking Off,https://www.energyandcapital.com/articles/hydrogen-fuel-cell-technology-is-just-now-taking-off/6584,Energy and Capital,2018-11-16T22:01:00.0000000Z
12,"<b>Toyota</b>&#39;s 2020 Corolla will enter its twelfth generation with a hybrid model and more standard safety <b>technology</b>. Photo courtesy of <b>Toyota</b>. <b>Toyota</b>&#39;s 2020 Corolla will enter its twelfth generation with new powertrain options, including a gasoline-electric ...",Next-Gen 2020 Corolla Adds Hybrid Model,https://www.automotive-fleet.com/319507/next-gen-2020-corolla-adds-hybrid-model,Automotive Fleet,2018-11-16T20:29:00.0000000Z
13,"The 12th generation of the <b>Toyota</b> Corolla was unveiled Friday, featuring a sportier exterior, enhanced performance, and new connected <b>technology</b>. After following in the steps of the 2019 Corolla Hatchback, the new 2020 sedan uses the underpinnings of the ...",World&#39;s most popular car gets a new face: meet the new <b>Toyota</b> Corolla,https://www.msn.com/en-us/autos/news/worlds-most-popular-car-gets-a-new-face-meet-the-new-toyota-corolla/ar-BBPM44N,Relaxnews (AFP),2018-11-16T12:30:00.0000000Z
14,"Automakers have been slow to equip vehicles with the <b>technology</b> necessary to communicate with infrastructure. And it will also rely on cities&#39; ability to implement the smart technologies, which could delay some of the safety benefits. Notably, <b>Toyota</b> and ...",Future Jaguar-Land Rover vehicles will communicate with traffic lights,https://www.motorauthority.com/news/1119978_future-jaguar-land-rover-vehicles-will-communicate-with-traffic-lights,Motor Authority,2018-11-16T18:06:00.0000000Z
15,"“Not only is Mazda <b>Toyota</b> Manufacturing providing high-paying jobs ... on a new ‘home’ here in Huntsville – a city that believes in the possibilities of <b>technology</b> and manufacturing, and has striven to realize mankind’s greatest dream.”","Mazda <b>Toyota</b> breaks ground on plant; 4,000 jobs expected",https://www.cullmantimes.com/news/mazda-toyota-breaks-ground-on-plant-jobs-expected/article_4a5502a0-e9c1-11e8-b29a-9f0842894144.html,The Cullman Times,2018-11-16T17:46:00.0000000Z
16,"An industrial robot armed with a shovel did the honors, showing the <b>technology</b> that’s coming to the plant. NEWS FLASH: An industrial robot did the honors at a groundbreaking ceremony today for Mazda <b>Toyota</b> Manufacturing USA&#39;s future Alabama assembly ...",Mazda <b>Toyota</b> holds high-tech groundbreaking for Huntsville plant,http://www.waff.com/2018/11/16/watch-mazda-toyota-huntsville-plant-groundbreaking/,WAFF,2018-11-16T17:36:00.0000000Z
17,"<b>Toyota</b> and Lexus recently announced plans to deploy DSRC systems ... and more efficient driving ecosystem – while also advancing connected and automated <b>technology</b> deployment. Compared to connected-vehicle equipment, the driverless (autonomous) vehicles ...",Connected vehicle <b>technology</b> could curtail work zone crashes,https://www.equipmentworld.com/connected-vehicle-technology-could-curtail-work-zone-crashes/,Equipment World,2018-11-16T17:33:00.0000000Z
18,"A groundbreaking ceremony for the Mazda <b>Toyota</b> Manufacturing plant was held ... a focus on Huntsville’s history of rocket and <b>technology</b> development, which speakers noted, will continue far ...",Mazda <b>Toyota</b> Manufacturing breaks ground on $1.6 billion auto plant in Huntsville,https://whnt.com/2018/11/16/mazda-toyota-manufacturing-breaks-ground-on-1-6-billion-auto-plant-in-huntsville/,WHNT,2018-11-16T17:24:00.0000000Z
19,"There are a bevy of players in the space ranging from small startups to <b>Toyota</b>. One medium-sized player is Pittsburgh ... mass customization of goods, advances in <b>technology</b>, and shifting economics in supply chains. &quot;There are a lot of physical things ...",Automating the warehouse: These self-driving robots aim to modernize materials handling,https://www.zdnet.com/article/automation-in-the-warehouse-these-self-driving-robots-aim-to-modernize-materials-handling/,ZDNet,2018-11-16T17:00:00.0000000Z
20,"Mazda <b>Toyota</b> Manufacturing, U.S.A., Inc. (MTMUS ... ground on a new ‘home’ here in Huntsville – a city that believes in the possibilities of <b>technology</b> and manufacturing, and has striven to realize mankind’s greatest dream.”",Mazda <b>Toyota</b> Plant Paving the Way for Groundbreaking Future,https://pressroom.toyota.com/releases/mazda+toyota+plant+paving+the+way+for+groundbreaking+future.htm,pressroom.toyota.com,2018-11-16T16:37:00.0000000Z
21,"The 2019 <b>Toyota</b> Land Cruiser (MSRP: $84,765) only comes in one trim, but it has practically every feature that this SUV offers, including an extensive host of safety <b>technology</b>. A rear-seat entertainment system is available, and it comes with two 11.6-inch ...",2019 <b>Toyota</b> Land Cruiser: What You Need to Know,https://www.msn.com/en-us/autos/reviews/2019-toyota-land-cruiser-what-you-need-to-know/ar-BBPOork,US News &amp; World Report - Cars,2018-11-17T21:43:00.0000000Z
22,"and Smart Stop <b>Technology</b>. All Corolla sedan models come equipped with a standard backup camera. <b>Toyota</b> Safety Sense 2.0 Significantly, all 2020 <b>Toyota</b> Corolla sedan models are equipped standard with <b>Toyota</b> Safety Sense 2.0, an advanced suite of integrated ...",2020 <b>Toyota</b> Corolla Becomes Much Bolder,https://www.cheersandgears.com/articles/auto-show-news/la-auto-show/2020-toyota-corolla-becomes-much-bolder-r5393/,cheersandgears.com,2018-11-16T16:20:00.0000000Z
23,"the Corolla sedan is built on <b>Toyota</b>&#39;s new TNGA platform, which has resulted in a 60 per cent increase in torsional rigidity and lower centre of gravity, thanks to the use of ultra high-strength steel and new structural adhesive <b>technology</b>. Following the ...",<b>Toyota</b> Corolla sedan revealed,http://currenthollywood.com/2018/11/toyota-corolla-sedan-revealed/,currenthollywood.com,2018-11-16T16:00:00.0000000Z
24,There are two transmission options: a direct shift continuously variable transmission (same as in the Lexus UX and 2019 <b>Toyota</b> Corolla Hatchback) and a new six-speed manual transmission with rev-matching <b>technology</b>. All models come with hill start assist.,Automotive Minute: World’s best-selling car gets a complete redesign for 2020 (Photos),https://www.bizjournals.com/atlanta/news/2018/11/16/automotive-minute-world-s-best-selling-car-gets-a.html,The Business Journals,2018-11-16T15:30:00.0000000Z
25,"With more safety features, better <b>technology</b>, and improved handling dynamics, the redesigned 2018 <b>Toyota</b> Camry earns a place near the top of our rankings. The redesigned 2018 <b>Toyota</b> Camry is a great choice for families. It has a high predicted reliability ...",2018 <b>Toyota</b> Camry,https://cars.usnews.com/cars-trucks/toyota/camry/2018,cars.usnews.com,2018-11-16T15:20:00.0000000Z
